K_s,psi,theta_d,K_ex,f_sat,S_max,tau_drain,t_lag_hr,uh_stretch,n,V_soil,alpha_soil,Q_threshold,gamma,lambda_sat,baseflow_Q,success,NSE_Q,NSE_C,KGE_Q,KGE_C,J,working_ensemble
1.412614953352734e-07,0.10953890588988154,0.26054406091109833,1.03720836228026e-07,0.22001944777997517,0.025715402906087693,14635.04862622607,0.8649525527502971,1.012890394463521,0.037508170785991876,0.05674622046025818,0.9588338825787546,0.6364674122614137,2.2417606992463215,0.7452923452726687,0.1058534189104081,True,-0.04032080048754838,-36.701495527605076,0.43375808291518825,-2.1047896329381555,-55.09256409189516,False
2.4706751876205495e-07,0.2503112223953685,0.1060441942869701,2.666209500304482e-05,0.2510096232596589,0.016491353405035707,12206.84036481183,0.9678189943546069,7.678737955453923,0.05702573119914578,1.510600739803985,0.7212679030706806,0.7737773067683077,3.581521239943508,0.16083886100181713,0.22938653254964445,True,0.7113515535972812,0.28629928479951094,0.7820973767542932,0.8320929480562006,1.1408004807965475,False
3.084932556601463e-07,0.23596937591340708,0.0811746554963322,3.0140114961566707e-06,0.17357586935925123,0.03178674435398739,54754.025679889215,1.9058726437677764,3.916943950442689,0.0477389677353754,1.566398877954014,0.7162789133612215,1.1991452326953902,4.554050289777885,0.2935157779341046,0.2339821514953053,True,0.8524813774471856,-0.07784607171478153,0.7836560931021785,0.6457352540634977,0.7357122698750133,True
5.47434639911955e-07,0.17410543157510128,0.22536073304743537,0.00020916541752100055,0.26858605620266623,0.06746703760536642,14072.332852191154,1.0928842879878546,7.362060725666813,0.03833307866915717,0.3080487260799399,0.5253716931173227,0.7524839212868923,3.57376679561348,0.13313049500033683,0.06940460844886734,True,0.5448665747854329,-0.23125313776197443,0.671379088697867,0.7244487318769656,0.19798686814247124,False
1.3746547364433216e-07,0.32072747017942,0.23559022878240465,1.5598346220599872e-06,0.08557446059433686,0.018418403807780807,28330.750793258496,1.8236168287843366,3.23040376292136,0.05125759618783041,0.16658610364029072,0.9888775528283212,1.1072546657606592,4.705899475797834,0.46416532397121446,0.31306690929407055,True,0.7125652241550818,-11.930795187168647,0.8053048910537529,-0.8508767213346096,-17.183627556597887,True
1.731093265284667e-07,0.25764741895838505,0.23320478197345385,3.1225797009646276e-05,0.22837719543819718,0.0710631164310169,28808.397683124196,0.8647891458141688,4.232267957130375,0.04458498679033013,0.1822735106940235,0.5768963236254336,0.8758160471176899,2.1849552721472274,0.7872927255443246,0.14341643969688828,True,0.9034817387317398,-2.6153633874737667,0.7917646029789955,-0.7887001051820457,-3.01956334247891,True
1.0396540976955108e-07,0.28314445141746675,0.2185523741574258,5.9444642427434094e-05,0.15746602901289775,0.07858969995547901,16464.22990582709,0.793840807358593,4.710460380802232,0.05379470174200278,0.3061783887397865,0.6012011069727372,0.5897982711819749,2.7443011638796486,0.05262516364814432,0.10510118830651918,True,0.8497393017028676,-0.47189325728710996,0.8165067100271013,0.473900677541615,0.14189941577220266,False
5.36657382140156e-07,0.19542590875882168,0.10633942344439272,1.2477910309168111e-06,0.27973921250741723,0.0584475620546044,38138.431726909635,1.0078388677250045,1.3805881182291269,0.05506330444865473,1.1009714768987662,0.9469977673791395,0.6788780597115919,3.86350200427742,0.1547369579747011,0.08538122401125112,True,0.3262999381769086,-2.117357257759805,0.38282516418584234,-0.5031495945048903,-2.8497359484627993,False
9.337399359159052e-07,0.3685818275823935,0.20074939143899362,8.34582784847208e-05,0.19337259184364336,0.02260043965420273,57027.36630485601,1.4758190336575332,1.0697281216098968,0.04376057853838621,0.09368109427079967,0.7150675691980001,0.9637293059927496,2.299630213102682,0.24437004590608377,0.12377458415418682,True,0.6811542019759067,-11.583938205748913,0.7577694869870739,-0.9451133820775011,-16.69475310664746,False
2.642435493814958e-07,0.35515451884513216,0.17486813539608553,5.274986838198834e-06,0.2736352888847083,0.019683571689457256,24684.15176365926,1.9378776564455769,1.4398511674527648,0.054343864796377366,1.2586828975105664,0.6689070393556823,0.8142059735770028,3.2722511500300238,0.22603051950537587,0.2629611029616199,True,0.42808044733268247,0.2353998895188275,0.6382979972188201,0.6736484550625688,0.7811802816109237,True
