K_s,psi,theta_d,K_ex,f_sat,S_max,tau_drain,t_lag_hr,uh_stretch,n,V_soil,alpha_soil,Q_threshold,gamma,lambda_sat,baseflow_Q,success,NSE_Q,NSE_C,C_trough,Q_peak,variant
4.989548351609941e-07,0.2705078918245666,0.08718207393673948,0.0003213760580595778,0.2799001004525355,0.026193145865783883,29390.276160994006,0.4302197372464995,2.395231922173304,0.03524873827831694,0.13598644057861006,0.6897218465836148,0.4044113524046643,2.0224995489648396,0.9700352534440897,0.3295436998540425,True,0.5578875889773913,-11.821689272168904,4.471417903071084,3.6889687263541844,3-layer
3.753449128737023e-07,0.1999435698638825,0.28967967866027655,1.0242920585597905e-05,0.1557695261797039,0.015485420221766995,45151.01081888101,1.6344208124761184,5.845737130572798,0.04931369830192124,0.8674259816323538,0.5368809632320078,0.466646512223424,2.0664476471509072,0.5816859771145724,0.14587717563680264,True,0.7070830818896419,-1.4128401843259333,3.7241271909690967,1.8465690361959286,3-layer
2.176279432220484e-07,0.15351119105043512,0.13143694815310647,5.903354491242794e-07,0.2744404791295979,0.01515117164837735,16715.52185077541,0.8475309597171274,5.8610705826893845,0.04976099346635065,0.9394221210272706,0.5087940546604018,0.5553541793530615,2.660625019929615,0.06339029307175674,0.20988616210814112,True,0.8137261945820727,-0.4108163866516794,3.500150791142203,2.6908343835085873,3-layer
5.593910158592121e-07,0.1388506888993559,0.20644146234791783,4.976162285815954e-05,0.16837537371336594,0.026316964107685817,9086.91491152086,1.3724866601604369,7.073364325035469,0.05221341156602213,0.09454859350706492,0.5797181603820196,1.1114187851567596,2.4015798763972,0.33232659739540205,0.12730192800022666,True,0.6468418220631986,-7.720320768052357,5.428668361923824,2.2652814412783115,3-layer
3.374564967079538e-07,0.11996680783239332,0.08133112938582267,2.587304017928533e-06,0.21528798069370741,0.019594188322177186,44380.297439477945,0.8386601610800262,1.9717301231719797,0.04222505156251259,0.4432345488178995,0.7362001754148302,0.8422061088296352,3.471463980198993,0.8855499496353428,0.12009865300261861,True,0.3317416301031896,-1.0449578963762307,4.724160131283617,3.448232274627668,3-layer
5.100413378330481e-07,0.20717442344711476,0.18887553012644093,2.0516477853345534e-06,0.29537348168423583,0.027299374752586317,18600.2881032923,1.4898831639811472,1.3478603146050367,0.06414389425351064,1.0140364791801106,0.5838564054879756,0.18339305194783484,2.142511965157128,0.5313973647748863,0.08325567873559639,True,0.41645763238978384,-2.4160753135249253,3.6824092539623985,2.733070093258439,3-layer
5.877667572228248e-07,0.17749507513131718,0.1136449802244269,8.068861898956768e-05,0.11878551026913431,0.04749594774769212,26258.222793229215,1.999808845030647,6.495623727990444,0.04484622525979662,0.060855306240064785,0.527935962494643,1.0802618543669595,2.2594731628686544,0.6031058146115236,0.34804942235624636,True,0.6528799463352676,-17.590012599502572,5.332836756678588,2.630970833893795,3-layer
2.3496990078815394e-07,0.11261170947716044,0.151340270233284,0.0002493297098350146,0.2358459610655893,0.021150578103850983,30351.826257378227,1.3506193938519586,7.352210169984362,0.059969708848764555,0.14940509908324764,0.9376433197140674,0.4560536757800169,3.184708958817649,0.7053369379223308,0.10373398884403945,True,0.6625218123340666,-13.033773974786238,5.466534815862792,2.5664760026054947,3-layer
8.25228035463672e-07,0.11878163076419819,0.1345169576867214,8.558938471256023e-05,0.20277199977404375,0.09333808227423318,46721.18762012907,1.8569939227313346,3.5770805498219578,0.051816305388409895,0.07179824360968971,0.9564552343281043,0.18110718225558234,4.3638699780153285,0.06614133044225592,0.12065651969805544,True,0.8391609066511732,-47.51843264520616,5.380737129363264,2.5809939145298495,3-layer
1.771735617489843e-07,0.26622098224165225,0.10814957456538027,2.5587061408383733e-05,0.24845963489954204,0.09242971203743043,50646.49037112309,1.3049354445875858,3.5333941022704285,0.05705620432467803,0.9978723815296539,0.5933208716913585,1.0262352333130313,3.7946381650263663,0.3603581659937888,0.1729060724749248,True,0.8592600220353586,0.11908770099874566,3.8544452575574137,2.6804376690080725,3-layer
2.8583201827031445e-07,0.20039705991481846,0.2677005359331012,8.289626345588655e-07,0.1845589646949929,0.0924090444394983,40980.435039221265,1.7878639371987082,2.324479807178547,0.061181961516056316,0.9534079151578041,0.8255598783503337,0.9810173403598165,4.984062588557498,0.4017971616175921,0.08062172777029311,True,0.4683022514936156,-1.2668629712020838,5.086561708894412,2.58175535559406,3-layer
1.278359513314997e-07,0.2105308909015574,0.17330938253154554,1.3403680663112974e-06,0.12981714152385884,0.016270511239880294,19196.034505634085,1.9474437583151265,6.7060650102651564,0.06049706776230535,0.11509544103887434,0.8953322123049277,0.696246111535315,2.0197382369726826,0.4733016049876815,0.053603848820783936,True,0.6418010203299116,-15.876640563902637,5.4980451838208815,2.431933497785849,3-layer
9.222971418833432e-07,0.10635382423894456,0.0893817217363231,6.253717393771856e-06,0.148665275152738,0.016962637831452236,22232.141076533597,0.49074927002106083,3.54822201870784,0.06356918488682067,0.9956545011845845,0.7980307667766677,0.9800802675391345,2.4379276016074973,0.12260287022488867,0.1538981946154241,True,0.7963420713663458,-0.9501627287893786,5.006095053232004,2.4077373941216367,3-layer
1.1984104225513206e-07,0.383728650462617,0.17930892518842606,0.0002947245326738798,0.21506175342074185,0.047364827215770705,34585.86553923672,1.8511398938441017,4.312571342514723,0.05811212274277797,0.14464694759929578,0.9603066838504897,0.9270938560318092,3.8189024966733527,0.6787059025835176,0.26195566065769005,True,0.7592800971101852,-10.435901233117615,5.4883764865755555,2.9259079007865023,3-layer
2.3191002050043724e-07,0.1284502733179258,0.2163419397914076,5.4060694448463673e-05,0.2786703223775952,0.02440941775163541,24256.00958507055,1.3588901640679585,1.834316340263213,0.062261121458251786,0.4348160631897648,0.9229241997468339,0.42901348183851495,3.193081487391497,0.32379070876492827,0.2979387459185763,True,0.5424802221108855,-4.560181636165048,5.302358186688866,3.8957427316058997,3-layer
1.3858528300749565e-07,0.08321846971627862,0.25199291730290513,2.0551962900861116e-07,0.16886483453858664,0.03743403761921337,56845.437098221,1.3045905087873169,6.120457645045147,0.04073775487379849,0.13066530125362802,0.8402570921864287,0.22775370832156328,4.8605590026711045,0.807424103867707,0.07887757434129557,True,0.6603461823333201,-28.892299852308426,5.488238148988883,2.3658146162417624,3-layer
1.799217394288515e-07,0.1074293620125454,0.25883265865559957,4.0887858034395715e-05,0.07432003756875431,0.08650959240515056,15598.501724800672,1.7174533150055158,3.466464256035467,0.06433138383846795,0.08502606768280571,0.7444965655353459,0.35872220710721625,4.781356704242211,0.733429062935866,0.08146813657987081,True,0.7888622427144327,-19.12492192855301,5.472135182926847,3.1157098579057356,3-layer
1.0142415065565497e-07,0.09953609006841801,0.23719005485125172,7.282395093364386e-07,0.240396171069841,0.0238920784808856,59870.84135528453,0.8198405568727144,3.836987072624788,0.054327317763205686,0.6961213443394081,0.8448050138072529,0.814719073643931,4.34702599252136,0.5546310485435894,0.22462490006359795,True,0.7609140848181929,-1.3493496303731654,5.08076578001312,3.2696162147988823,3-layer
1.454249124166415e-07,0.08155039850943735,0.25739910418324563,3.307475441535469e-05,0.08892897596071342,0.040537844933692745,11880.408082390019,0.8828747097239731,3.5154272247386427,0.06442652941141018,0.11861286305409834,0.8064338284995444,0.5144223053516624,4.930594027406522,0.32964005378069966,0.2443090905372957,True,0.7857534828182401,-13.342757140150576,5.426882571815603,3.2977584660083594,3-layer
5.850402831410271e-07,0.2866881556492952,0.18877130127033837,1.2188268161712316e-05,0.16773476222233308,0.05686639013031018,18216.609190266274,1.0558674150784382,5.179674912244673,0.0556546608420418,0.19635148478461958,0.7078816990071528,0.3089613226421447,2.326466140670724,0.10838083219659105,0.33587490750298643,True,0.6280013379450531,-9.704013517044835,4.622698238214579,1.9371910624158266,3-layer
4.487831726557113e-07,0.13139427314567312,0.2957775548564613,0.0002759060546789677,0.2475419822679064,0.029313724046332184,10289.002613510627,1.8371344779367722,3.335424267400357,0.06393806647450785,1.37388212439215,0.5707173567354413,1.0193560363299543,4.225515419460342,0.9429954961833615,0.34144438119538656,True,0.6280185804838958,-1.081405921005278,3.5303179497741315,3.2791493842969195,3-layer
3.5813953306088e-07,0.3251484561577923,0.12171693700827838,4.08584888553743e-07,0.23528641221732094,0.03348774835287326,9319.863363743154,1.2757874335450108,6.267478381099256,0.04338918251320825,1.6919803522535297,0.7788357746375185,0.40531410712378546,3.5651206036834724,0.5896135133129915,0.11165292740441918,True,0.6272227660568446,-0.17436779499652078,4.611755966199905,2.1100868065235123,3-layer
7.177888383299735e-07,0.19730961927835852,0.1490337033754285,5.6573362667177334e-06,0.2596101293546982,0.05385547533768568,18883.507512443473,1.4580980292547738,7.280020251808496,0.05497653616856933,0.12570999056973386,0.7550627750388779,0.695123917731875,3.736355943960058,0.06236298403043932,0.3135738106017073,True,0.5145234725119259,-16.096883953383387,5.416927677803376,1.715244119634017,3-layer
7.890872426904123e-07,0.294813848444937,0.24591417680893768,2.548173265968186e-07,0.05001061017313879,0.033095089381136845,41206.88679910893,1.7408495789442897,1.4339116853536338,0.05529222763978282,0.36231177455592234,0.8883169799791575,0.30144876178398666,3.494803436888159,0.4190409586640016,0.2837989652623424,True,0.2588452208805264,-15.927993742172944,5.372201804421127,2.0924090891717952,3-layer
1.299994296131334e-07,0.26043421696976465,0.17066130036484672,9.741823808977744e-07,0.25139039778292505,0.03174675262646601,43473.68958606407,1.7806500773816567,2.9273932234631324,0.04085934940922299,1.8976026902914256,0.5856318832438806,0.6005432052672692,4.126740214202131,0.5637727719018315,0.306177752592937,True,0.6879602820380475,-1.2754783795812008,3.486449376003932,3.079187090416705,3-layer
2.7068378490192645e-07,0.08635505804009397,0.15729779717298986,4.4624240410966876e-05,0.23262869382415646,0.025976666723842117,52007.40812642972,0.7524196600371299,1.780045442663294,0.05998450879536994,0.3878012602328279,0.7216891068749245,1.0675454590273,4.100870121753196,0.19376849191649176,0.2992065823089629,True,0.4244168173663395,-1.159789000974441,4.854918365803396,3.9524602832622313,3-layer
1.864339205381889e-07,0.12039756334786264,0.09473272787155694,5.429570629468986e-06,0.11554175692021722,0.09302522776361194,46920.91692117774,0.8409637070915158,4.799838651284695,0.03589631483760937,0.06682695451694029,0.8658810255516751,0.8670716646733242,2.7738688323237954,0.6383087879244418,0.08490233402641936,True,0.7717534216256159,-20.423040193173772,5.489560894868436,2.6435038711181607,3-layer
2.128407687973586e-07,0.08271610743572995,0.1298131199976999,3.420454483890644e-07,0.16556830951387239,0.03932764377681619,18342.602181181817,0.6645806344344374,3.52435421475455,0.05960846839737019,1.025819484493378,0.6748928182156289,0.5931854719168257,2.0404781875529583,0.6432180715801044,0.1251362434491544,True,0.6628294175314595,-0.09430979326843403,4.271568678459884,2.827291724610347,3-layer
7.686886973710507e-07,0.2530075833844619,0.24522775373349004,1.3576683058037172e-07,0.2115548016619906,0.0631492221666022,27180.64818746317,1.1892266667682514,4.217095380515937,0.06008714155153659,0.5379372469309586,0.6883208480415669,0.43932114473798345,3.725086459201537,0.06742689938340414,0.052860421192544714,True,0.21333969024925858,-1.2289105744217963,5.048359413676177,1.3956936194074578,3-layer
1.836275271246407e-07,0.22183067591279884,0.13596016726489618,3.6376791810910315e-05,0.2609782714779221,0.03775903059684417,30866.353859685285,0.7846937562983486,2.562691077721326,0.04772907480605004,1.7199417552596634,0.6908837519249561,0.1847913252491972,4.435150844185131,0.24276065842413042,0.09281285870784832,True,0.7122579744265796,-2.403987974960111,3.9305002524145967,2.8761061820234888,3-layer
7.277901350339007e-07,0.22240279210412248,0.147519906448347,4.78968338487491e-05,0.14634103512470586,0.025356010045807637,31687.038162719356,1.6406402581934776,1.724379575725127,0.056015194499846606,0.7308258393083916,0.7282190736862602,0.8688048160491854,2.2021128046973724,0.30975883047720976,0.32635638138393863,True,0.6884617442334541,0.10182169673620889,4.703304693909231,3.3388051714365465,3-layer
1.5227244424449121e-07,0.10758563892788302,0.14972496827913245,2.0266307751330078e-05,0.13119127201571584,0.022376994457415703,12362.324169384052,0.6433238855352335,3.0008713873485293,0.0640526778266501,0.9200322018919037,0.9772702025026905,0.8575478333963465,3.7717783785380004,0.966436050321114,0.1492139926548074,True,0.7173828508501128,-2.5486544683369536,5.464308543635068,3.171683932509261,3-layer
